OverallQual,YearBuilt,TotalBsmtSF,GrLivArea,SalePrice
10,1892,1107,3608,475000
7,1990,1188,1217,173000
5,1916,660,1656,135000
5,1979,1086,1224,153337
8,2001,1593,1593,286000
8,1932,853,2727,315000
7,1972,725,1479,184000
7,1999,1431,1431,192000
7,2004,970,1709,130000
5,1972,864,864,127000
6,1976,855,1456,148500
7,2007,1726,1726,311872
8,1918,1360,3112,235000
6,1912,755,2229,104000
8,2004,1713,1713,274900
4,2003,1121,1121,140000
6,1977,1196,1279,171500
6,1924,617,1310,112000
6,2004,848,848,149000
5,1947,720,1284,110000
7,1990,1424,1442,180500
5,1962,1140,1696,143900
4,1960,1100,1100,141000
7,1988,1157,2062,277000
6,1964,1092,1092,145000
5,1925,864,864,98000
6,2009,1212,1212,186000
7,2009,900,1852,252678
5,1995,990,990,156000
6,1977,689,1392,161750
5,1957,1070,1236,134450
7,2004,1436,1436,210000
4,1925,686,1328,107000
7,1939,798,1954,311500
7,2005,1248,1248,167240
7,2006,1498,1498,204900
6,2002,1010,2267,200000
6,1975,713,1552,179900
4,1971,864,864,97000
10,2003,2392,2392,386250
5,1971,630,1302,112000
7,1995,1203,2520,290000
6,1970,483,987,106000
5,1967,912,912,125000
7,2005,1373,1555,192500
6,1959,1194,1194,148000
8,1995,1462,2794,403000
6,1972,483,987,94500
5,1976,894,894,128200
6,2002,860,1960,216500
6,1971,483,987,89500
7,2004,1414,1414,185500
7,1993,996,1744,194500
8,2007,1694,1694,318000
6,1945,735,1487,113000
8,2008,1566,1566,262500
5,1945,686,866,110500
5,1900,540,1440,79000
6,1980,626,1217,120000
7,1994,948,2110,205000
7,1988,1845,1872,241500
6,1910,1020,1928,137000
6,1954,1367,1375,140000
7,2003,840,1668,180000
6,1958,1444,2144,277000
3,1940,728,1306,76500
8,2006,1573,1625,235000
6,2004,798,1640,173000
6,1964,1302,1302,158000
5,1957,1314,1314,145000
7,1999,975,2291,230000
6,2003,864,1728,207500
7,2006,1604,1604,220000
7,2001,963,1792,231500
5,1956,0,882,97000
6,1962,1362,1382,176000
8,2007,1482,2574,276000
6,1977,506,1212,151000
5,1929,926,1316,130000
5,1925,680,764,73000
6,1981,1422,1422,175500
6,1997,802,1511,185000
5,1939,720,2192,179500
5,1940,740,778,120500
6,1976,1143,1113,148000
8,2006,1095,1939,266000
7,1954,1385,1363,241500
8,1999,1152,2270,290000
6,1958,1240,1632,139000
5,1982,816,816,124500
7,1925,952,1548,205000
7,2003,1560,1560,201000
4,1951,864,864,141000
9,2006,2121,2121,415298
7,1977,1160,2022,192000
7,1989,807,1982,228500
6,2006,1262,1262,185000
7,2007,1314,1314,207500
8,2008,1468,1468,244600
6,1992,1575,1575,179200
7,2006,625,1250,164700
6,1962,912,1734,159000
4,1971,858,858,88000
5,1967,882,900,122000
6,1915,698,1396,153575
8,2006,1079,1919,233230
5,1912,780,1716,135900
5,1949,768,1716,131000
7,1977,795,2263,235000
6,1953,1416,1644,167000
6,1984,1003,1003,142500
5,1950,910,1558,152000
7,1997,975,1950,239000
6,1968,702,1743,175000
6,1950,1092,1152,158500
5,1953,1165,1336,157000
8,1998,1028,2452,267000
7,2001,1541,1541,205000
5,1972,894,894,149900
7,1880,1470,3493,295000
8,2004,2000,2000,305900
7,1990,700,2243,225000
6,1920,319,1406,89500
4,1940,861,861,82500
9,2003,1896,1944,360000
6,1993,697,1501,165600
6,1948,972,972,132000
5,1939,793,1118,119900
7,1965,2136,2036,375000
7,1925,728,1641,178000
7,2004,716,1432,188500
7,1980,845,2353,260000
8,2006,1088,1959,270000
7,1993,1347,2646,260000
7,1980,1372,1472,187500
9,2006,1249,2596,342643
8,2004,1136,2468,354000
7,1986,1502,2730,301000
3,1955,1162,1163,126175
7,1967,710,2978,242000
5,1941,720,803,87000
8,1993,1719,1719,324000
6,1960,1383,1383,145250
6,1916,844,2134,214500
5,1920,596,1192,78000
5,1964,1728,1728,119000
5,1958,1056,1056,139000
8,2003,3206,1629,284000
7,2004,1358,1358,207000
6,1998,943,1638,192000
5,1965,1499,1786,228950
9,2005,1922,1922,377426
7,2002,1536,1536,214000
7,1984,1208,1621,202500
6,1958,1215,1215,155000
8,2002,967,1908,202900
4,1950,721,841,82000
3,1949,0,1040,87500
9,2005,1684,1684,266000
5,1976,536,1112,85000
6,1939,972,1577,140200
6,1960,958,958,151500
6,1960,1478,1478,157500
7,2003,764,1626,154000
9,2005,1848,2728,437154
9,2007,1869,1869,318061
7,1986,1453,1453,190000
5,1941,616,1111,95000
6,1928,624,720,105900
6,1940,940,1595,140000
6,1995,1200,1200,177500
6,1992,1158,1167,173000
5,1976,1142,1142,134000
5,1958,1062,1352,130000
8,1998,1086,1924,280000
6,1978,888,912,156000
5,1940,883,1505,145000
7,2003,0,1922,198500
6,1972,483,987,118000
6,1976,796,1574,190000
5,1920,672,1344,147000
6,1963,1394,1394,159000
6,1962,1099,1431,165000
5,1954,1268,1268,132000
5,1959,1063,1287,162000
6,2000,953,1664,172400
4,1959,0,1588,134432
6,1984,744,752,125000
5,1953,608,1319,123000
7,2003,847,1928,219500
1,1922,683,904,61000
5,1996,870,914,148000
8,2004,1580,2466,340000
9,2010,1856,1856,394432
6,2000,982,1800,179000
5,1924,1026,1691,127000
7,2006,1293,1301,187750
7,2006,939,1797,213500
6,1928,784,784,76000
6,1992,1580,1953,240000
8,2004,1256,1269,192000
5,1910,658,1184,81000
6,1976,1041,1125,125000
7,1999,1468,1479,191000
10,2007,1682,2332,426000
5,1900,861,1367,119000
6,2001,804,1961,215000
5,1959,0,882,106500
4,1941,788,788,100000
5,1940,735,1034,109000
5,1956,1144,1144,129000
5,1972,894,894,123000
5,1962,864,1812,169500
5,1920,961,1077,67000
7,2006,1092,1550,241000
8,1996,1260,1288,245500
7,2005,1310,1310,164990
5,1940,672,672,108000
8,1998,1141,2263,258000
6,1995,806,1572,168000
4,1976,1281,1620,150000
6,1936,1064,1639,115000
6,1915,840,1680,177000
7,2006,1063,2172,280000
8,2007,1034,2078,339750
5,1958,1276,1276,60000
5,1955,1056,1056,145000
7,2009,1470,1478,222000
5,1927,1008,1028,115000
7,1993,1080,2097,228000
7,2007,1340,1340,181134
6,1978,672,1400,149500
6,1918,1370,2624,239000
5,1940,756,1134,126000
5,1968,1056,1056,142000
7,1997,1344,1344,206300
6,1977,1602,1602,215000
5,1954,988,988,113000
8,1998,1470,2630,315000
6,1956,1196,1196,139000
7,1946,651,1389,135000
7,1989,1518,1644,275000
4,1957,907,907,109008
7,2007,1208,1208,195400
6,1988,1392,1412,175000
6,1971,483,987,85400
6,1920,901,1198,79900
5,1971,765,1365,122500
6,1997,926,1604,181000
4,1972,630,630,81000
7,1996,799,1661,212000
6,1920,648,1118,116000
6,1926,884,904,119000
5,1913,440,694,90350
6,1920,684,1196,110000
10,2008,3094,2402,555000
4,1955,1440,1440,118000
5,1930,1078,1573,162900
7,2006,1258,1258,172500
7,1994,915,1908,210000
6,1956,1436,1689,127500
6,1966,1517,1888,190000
7,1998,930,1886,199900
6,1937,780,1376,119500
3,1948,649,1183,120000
6,1930,813,813,110000
7,1975,1533,1533,280000
6,1996,872,1756,204000
8,2008,768,1590,210000
5,1976,1728,1728,188000
7,1973,1242,1242,175500
5,1916,624,1344,98000
4,1954,1364,1663,256000
8,1925,588,1666,161000
5,1950,709,1203,110000
8,2009,832,1935,263435
7,1936,560,1135,155000
5,1965,864,864,62383
6,1934,715,1660,188700
5,1978,1040,1040,124000
7,2004,1375,1414,178740
7,1970,1277,1277,167000
5,1942,728,1644,146500
8,2006,1626,1634,250000
6,1993,832,1710,187000
8,1985,1488,1502,212000
7,1977,808,1969,190000
6,2005,547,1072,148000
8,2006,1976,1976,440000
8,2000,1494,1652,251000
5,1963,970,970,132500
6,1997,1478,1493,208900
9,2006,2153,2643,380000
8,2007,1705,1718,297000
4,1937,907,1131,89471
9,2004,1833,1850,326000
9,2003,1792,1792,374000
7,1915,910,1826,155000
6,1998,1216,1216,164000
5,1962,999,999,132500
5,1950,1113,1113,147000
5,1965,1073,1073,156000
5,1971,1484,1484,175000
5,1900,954,2414,160000
4,1970,630,630,86000
5,1976,264,1304,115000
6,1941,806,1578,133000
6,2006,728,1456,172785
5,1960,1269,1269,155000
5,1938,190,886,91300
4,1920,720,720,34900
8,1992,3200,3228,430000
7,1925,1026,1820,184000
5,1967,864,899,130000
5,1958,912,912,120000
6,1973,672,1218,113000
7,2005,866,1768,226700
5,1965,1214,1214,140000
7,1959,1501,1801,289000
6,1974,855,1322,147000
5,1952,960,1960,124500
8,1993,777,1911,215000
6,2009,1218,1218,208300
7,1928,689,1378,161000
5,1959,1041,1041,124500
5,1951,1008,1363,164900
7,2005,1368,1368,202665
5,1958,864,864,129900
6,1983,1084,1080,134000
5,1926,768,789,96500
10,2009,2006,2020,402861
6,1972,689,2119,158000
7,1996,1264,2344,265000
6,1998,794,1796,211000
7,1926,1276,2080,234000
4,1900,0,1294,106250
6,1957,1244,1244,150000
6,1947,1004,1664,159000
10,2007,3138,4676,184750
7,1996,1379,2398,315750
7,2005,1257,1266,176000
5,1956,928,928,132000
9,2008,1452,2713,446261
4,1920,528,605,86000
6,1957,2035,2515,200624
6,1988,1461,1509,175000
6,1920,611,1362,128000
5,1955,0,827,107500
1,1946,0,334,39300
8,2004,707,1414,178000
5,1910,1117,1347,107500
7,1998,880,1724,188000
4,1972,864,864,111250
5,1968,1051,1159,158000
8,2001,1581,1601,272000
9,2006,1838,1838,315000
8,2000,969,2285,248000
7,1998,1650,1680,213250
7,1998,723,767,133000
7,2006,654,1496,179665
7,1988,1204,2183,229000
6,1923,1065,1635,210000
5,1970,768,768,129500
5,1955,825,825,125000
7,2003,912,2094,263000
6,1977,1069,1069,140000
5,1957,928,928,112500
8,2006,1709,1717,255500
4,1949,0,1126,108000
7,2003,998,2046,284000
5,1922,993,1048,113000
5,1957,1092,1092,141000
4,1920,637,1336,108000
7,1996,729,1446,175000
7,2003,1374,1557,234000
5,1957,1392,1392,121500
5,1974,1389,1389,170000
5,1940,996,996,108000
6,1918,1163,1674,185000
7,1992,1095,2295,268000
6,1915,806,1647,128000
9,2005,1122,2504,325000
7,2004,1517,1535,214000
8,1983,1496,2132,316600
5,1979,943,943,135960
5,1965,1728,1728,142600
6,1959,864,864,120000
7,2009,846,1692,224500
7,2000,384,1430,170000
5,1971,372,1109,139000
5,1947,832,1216,118500
7,1928,861,1477,145000
5,1966,1164,1320,164500
7,2007,689,1392,146000
5,1954,1050,1795,131500
6,1960,1144,1429,181900
8,2008,2042,2042,253293
6,1990,816,816,118500
10,1893,1237,2775,325000
4,1935,884,1573,133000
8,2005,1868,2028,369900
6,1918,816,838,130000
5,1982,840,860,137000
5,1968,1437,1473,143000
5,1930,742,935,79500
7,2004,770,1582,185900
10,2008,1722,2296,451950
5,1982,816,816,138000
6,2003,848,848,140000
5,1975,924,924,110000
8,2005,1814,1826,319000
6,1910,684,1368,114504
7,2006,1258,1402,194201
5,1977,1430,1647,217500
6,1980,716,1556,151000
8,2005,1058,1904,275000
6,1937,780,1375,141000
8,1992,908,1915,220000
7,2004,600,1200,151000
7,2002,1494,1494,221000
7,1965,768,1986,205000
5,1996,1040,1040,152000
5,1948,896,2008,225000
8,1934,965,3194,359100
4,1961,1029,1029,118500
9,2000,1440,2153,313000
6,1978,1032,1032,148000
8,2001,1299,1872,261500
5,2007,1120,1120,147000
4,1972,630,630,75500
6,1963,936,1054,137500
6,2002,783,1509,183200
6,1954,832,832,105500
9,2007,1822,1828,314813
8,2003,1482,2262,305000
3,1914,864,864,67000
6,1974,1522,2614,240000
5,1977,980,980,135000
6,2000,756,1512,168500
6,1972,732,1790,165150
6,1962,1116,1116,160000
5,1960,978,1422,139900
6,1955,1156,1520,153000
5,1969,1040,2080,135000
6,1964,1248,1350,168500
5,1880,636,1750,124000
8,2006,1554,1554,209500
7,1977,1386,1411,82500
5,1954,1056,1056,139400
6,1980,1056,1056,144000
6,1914,1440,3395,200000
2,1936,264,800,60000
5,1954,811,1387,93000
5,1910,796,796,85000
8,2006,1520,1567,264561
8,2003,1518,1518,274000
7,2001,1057,1929,226000
8,1972,1952,2704,345000
5,1969,780,1620,152000
9,2009,1766,1766,370878
6,1971,981,981,143250
5,1950,0,1048,98300
6,1953,1094,1094,155000
6,1966,756,1839,155000
4,1970,630,630,84500
7,2007,813,1665,205950
4,1940,755,1510,108000
7,1996,880,1716,191000
6,1906,756,1469,135000
8,1995,2109,2113,350000
6,1971,525,1092,88000
5,1959,1053,1053,145500
7,1931,776,1502,149000
6,1948,912,1458,97500
5,1964,1486,1486,167000
7,1976,793,1935,197900
8,1994,1629,2448,402000
6,1968,1392,1392,110000
4,1972,1138,1181,137500
8,2005,2077,2097,423000
8,2000,1406,1936,230500
6,1965,1021,2380,129000
6,1994,1408,1679,193500
5,1956,1188,1437,168000
4,1922,700,1180,137500
6,2005,738,1476,173500
6,1925,672,1369,103600
6,1977,1208,1208,165000
6,1957,1477,1839,257500
6,1965,1136,1136,140000
6,1978,855,1441,148500
4,1900,1095,1774,87000
5,1924,768,792,109500
8,2008,2046,2046,372500
5,1961,988,988,128500
6,1980,923,923,143000
5,1932,793,1520,159434
6,1996,1291,1291,173000
9,2002,1626,1668,285000
7,1998,1195,1839,221000
7,1984,1190,2090,207500
7,2007,874,1761,227875
7,2004,551,1102,148800
8,2007,1419,1419,392000
6,2005,1362,1362,194700
6,2004,848,848,141000
10,1994,2444,4316,755000
7,1989,1210,2519,335000
5,1921,1073,1073,108480
5,1936,927,1539,141500
6,1987,1112,1137,176000
5,1921,616,616,89000
5,1952,980,1148,123500
5,1965,894,894,138500
7,2004,1391,1391,196000
8,2002,1800,1800,312500
7,1969,1164,1164,140000
8,2006,1234,2576,361919
5,1900,360,1812,140000
7,2004,1473,1484,213000
4,1930,0,1092,55000
7,1971,1643,1824,302000
8,2006,1324,1324,254000
7,2007,728,1456,179540
5,1966,876,904,109900
3,1935,270,729,52000
4,1900,859,1178,102776
8,1988,1228,1228,189000
4,1970,960,960,129000
6,1976,725,1479,130500
6,1974,1064,1350,165000
7,1890,718,2554,159500
5,1973,1176,1178,157000
7,1993,1311,2418,341000
5,1969,971,971,128500
8,1985,1742,1742,275000
6,2004,848,848,143000
4,1970,864,864,124500
4,1954,941,1470,135000
9,2007,1698,1698,320000
4,1970,864,864,120500
6,1988,880,1680,222000
7,2007,1232,1232,194500
5,1958,1584,1776,110000
4,1925,780,1208,103000
8,1995,1595,1616,236500
7,2003,868,1146,187500
7,1998,1153,2031,222500
5,1961,864,1144,131400
5,1968,948,948,108000
7,1914,880,1768,163000
3,1950,0,1040,93500
8,2005,893,1801,239900
5,1987,1200,1200,179000
7,2004,864,1728,190000
5,1910,264,1432,132000
6,1961,912,912,142000
7,2000,1349,1349,179000
5,1963,520,1464,175000
8,1993,1337,1337,180000
8,1976,1142,2715,299800
7,2000,952,2256,236000
7,1880,1240,2640,265979
7,1996,1720,1720,260400
4,1945,0,1529,98000
4,1910,576,1140,96500
7,2003,660,1320,162000
6,1997,1479,1494,217000
8,2005,1030,2098,275500
6,1969,1026,1026,156000
6,1999,729,1471,172500
8,2007,866,1768,212000
6,1978,672,1386,158900
7,1999,744,1501,179400
8,1995,1318,2531,290000
6,1959,864,864,127500
5,1924,1145,1301,100000
7,2009,756,1547,215200
8,1999,1252,2365,337000
8,1995,1494,1494,270000
9,2008,1498,1506,264132
7,1988,980,1714,196500
6,1940,983,1750,160000
7,2004,1860,1836,216837
8,2003,1650,3279,538000
5,1982,858,858,134900
4,1951,836,1220,102000
6,1976,1029,1117,107000
5,1958,912,912,114500
8,2006,1935,1973,395000
6,1998,1204,1204,162000
7,2005,1614,1614,221500
5,1974,864,894,142500
5,1977,0,2020,144000
6,1977,975,1004,135000
7,1995,1237,1253,176000
6,1992,761,1603,175900
7,2001,1413,1430,187100
5,1978,1097,1110,165500
6,1914,742,1484,128000
6,1967,1372,1342,161500
5,1915,686,1652,139000
7,2004,956,2084,233000
4,1954,901,901,107900
6,1966,832,2087,187500
7,2005,1145,1145,160200
6,1976,1029,1062,146800
7,1996,1117,2013,269790
8,2007,1496,1496,225000
7,1994,712,1895,194500
6,1980,650,1564,171000
6,1977,660,1285,143500
5,1953,773,773,110000
9,2008,1926,3140,485000
5,1937,731,1768,175000
6,1997,616,1688,200000
4,1916,1196,1196,109900
7,2005,728,1456,189000
9,2008,1734,2822,582933
5,1954,936,1128,118000
7,2008,1417,1428,227680
5,1967,980,980,135500
5,1923,1324,1576,223500
5,1966,1024,1086,159950
5,1898,849,2138,106000
6,1974,1040,1309,181000
6,2004,848,848,144500
5,1952,540,1044,55993
6,1958,1442,1442,157900
5,1918,686,1250,116000
7,1998,1649,1661,224900
5,1954,1008,1008,137000
8,2002,1568,1689,271000
6,1971,1010,1052,155000
7,2009,1358,1358,224000
7,2003,798,1640,183000
4,1953,936,936,93000
7,2003,847,1733,225000
6,1940,778,1489,139500
8,2006,1489,1489,232600
10,2007,2078,2084,385000
5,1924,784,784,109500
7,2001,1454,1434,189000
5,1967,1013,2126,185000
7,2005,600,1223,147400
6,1957,1392,1392,166000
7,2005,600,1200,151000
7,2003,941,1829,237000
6,1964,1516,1516,167000
5,1961,1144,1144,139950
4,1950,1067,1067,128000
5,1948,1559,1559,153500
6,1973,483,987,100000
5,1995,1099,1099,144000
5,1946,768,1200,130500
6,1925,672,1482,140000
5,1904,650,1539,157500
6,1966,1127,1165,174900
5,1961,1800,1800,141000
5,1915,876,1416,153900
5,1975,1390,1701,171000
7,1993,740,1775,213000
5,1972,864,864,133500
6,1908,907,2358,240000
6,1976,528,1855,187000
6,2003,848,848,131500
8,2003,1273,1456,215000
7,1941,918,1646,164000
6,1964,1127,1445,158000
5,1955,1763,1779,170000
5,1962,1040,1040,127000
6,1978,940,1026,147000
6,1994,702,1481,174000
7,1976,1090,1370,152000
6,1968,1054,2654,250000
7,1918,912,1426,189950
5,1965,1039,1039,131500
6,1984,1040,1097,152000
5,1959,1148,1148,132500
7,2007,1372,1372,250580
5,1970,1002,1002,148500
8,2006,1638,1646,248900
4,1961,1040,1120,129000
5,1948,0,2320,169000
7,1993,1050,1949,236000
5,1962,894,894,109500
6,1998,804,1682,200500
5,1953,105,910,116000
5,1949,832,1268,133000
5,1941,676,1131,66500
8,2007,1184,2610,303477
4,1963,1064,1040,132250
9,2004,1462,2224,350000
5,1961,1109,1155,148000
5,1978,864,864,136500
5,2005,1090,1090,157000
7,1990,1156,1717,187500
6,1992,808,1593,178000
4,1912,795,2230,118500
5,1967,892,892,100000
9,1999,1698,1709,328900
5,1959,1626,1712,145000
5,1955,816,1393,135500
8,1970,2217,2217,268000
6,1953,1505,1505,149500
5,1949,672,924,122900
6,1978,918,1683,172500
6,1963,1059,1068,154500
5,1954,1383,1383,165000
5,1979,0,1535,118858
6,1963,780,1796,140000
4,1936,951,951,106500
5,1979,0,2240,142953
9,2009,2330,2364,611657
5,1961,912,1236,135000
4,1971,858,858,110000
5,1957,992,1306,153000
7,2003,783,1509,180000
7,2006,1670,1670,240000
5,1967,876,902,125500
5,1954,1056,1063,128000
8,2006,1623,1636,255000
7,1936,1017,2057,250000
5,1983,864,902,131000
6,2005,742,1484,174000
5,1960,1105,2274,154300
5,1977,1268,1268,143500
5,1925,768,1015,88000
5,1949,1001,2002,145000
6,2009,612,1224,173733
4,1970,546,1092,75000
2,1949,480,480,35311
4,1956,1134,1229,135000
7,1991,1104,2127,238000
6,1958,1184,1414,176500
6,1994,928,1721,201000
5,1900,1272,2200,145900
6,2005,1316,1316,169990
6,1993,1604,1617,193000
6,1980,1686,1686,207500
5,1977,1126,1126,175000
8,2003,1181,2374,285000
7,1968,832,1978,176000
8,2001,1753,1788,236500
7,1997,964,2236,222000
8,2007,1466,1466,201000
5,1965,925,925,117500
9,2006,1905,1905,320000
7,2004,1500,1500,190000
7,1960,585,2069,242000
4,1926,600,747,79900
7,2003,1176,1200,184900
7,2005,1113,1971,253000
7,2006,1391,1962,239799
7,1940,1032,2403,244400
6,1976,1728,1728,150900
7,1999,992,2060,214000
4,1977,1440,1440,150000
5,1967,1632,1632,143000
6,1958,819,1344,137500
5,1890,1088,1869,124900
5,1959,1144,1144,143000
8,2002,1616,1629,270000
7,2002,936,1776,192500
6,1972,1161,1381,197500
5,1950,864,864,129000
5,1965,828,965,119900
5,1972,768,768,133900
5,1969,784,1968,172000
6,1975,945,980,127500
6,1946,979,1958,145000
6,1980,561,1229,124000
5,1962,1057,1057,132000
7,2003,1337,1337,185000
7,1999,696,1416,155000
5,1958,858,858,116500
6,1977,1330,2872,272000
6,1976,804,1548,155000
9,2007,1800,1800,239000
7,2002,817,1894,214900
6,2005,783,1484,178900
5,1940,728,1308,160000
5,1955,1098,1098,135000
3,1910,600,968,37900
6,1958,588,1095,140000
4,1949,720,1192,135000
7,2003,764,1626,173000
6,1979,918,918,99500
7,2007,1428,1428,182000
7,1910,728,2019,167500
7,2000,673,1382,165000
4,1923,440,869,85500
7,2006,1241,1241,199900
4,1954,894,894,110000
5,1963,1121,1121,139000
7,1961,944,999,178400
8,1998,1225,2612,336000
7,2007,1266,1266,159895
8,2002,1128,2290,255900
5,1977,0,1734,126000
5,1950,1164,1164,125000
6,1910,485,1635,117000
9,2009,1930,1940,395192
6,1976,848,2030,195000
7,2006,770,1576,197000
8,1997,1396,2392,348000
8,1882,916,1742,168000
6,1964,822,1851,187000
6,2005,750,1500,173900
10,2006,1700,1718,337500
4,1946,747,1230,121600
5,1961,1050,1050,136500
6,1970,1442,1442,185000
3,1922,1007,1077,91000
7,2006,1187,1208,206000
3,1952,0,944,82000
5,1920,691,691,86000
8,2006,1574,1574,232000
5,1976,1680,1680,136905
7,2005,1346,1504,181000
5,1977,985,985,149900
6,1970,1657,1657,163500
4,1970,546,1092,88000
7,2004,1710,1710,240000
5,1926,1008,1522,102000
5,1948,720,1271,135000
5,1965,0,1664,100000
6,1923,602,1502,165000
5,1910,1022,1022,85000
6,1948,1082,1082,119200
8,2001,810,1665,227000
7,1996,1504,1504,203000
8,1984,1220,1360,187500
7,1991,384,1472,160000
7,2005,1362,1506,213490
4,2005,1132,1132,176000
7,2006,1199,1220,194000
5,1930,912,1248,87000
7,2005,1346,1504,191000
8,1976,1565,2898,287000
5,1972,882,882,112500
5,1960,1268,1264,167500
8,2007,1638,1646,293077
5,1941,768,1376,105000
6,1972,672,1218,118000
5,1916,686,1928,160000
7,1920,824,3082,197000
8,1993,1338,2520,310000
7,2002,1654,1654,230000
5,1938,920,954,119750
4,1957,0,845,84000
9,2007,1620,1620,315500
8,2001,1055,2263,287000
4,1970,546,1344,97000
4,1970,630,630,80000
5,1957,1134,1803,155000
6,1966,800,1632,173000
6,2005,1306,1306,196000
